id_video,sent,received,started,succeeded,time_request
76,2023-11-09T02:02:19.349465,2023-11-09T02:02:19.349887,2023-11-09T02:02:19.350857,2023-11-09T02:03:32.349838,73000.37299999999
71,2023-11-09T02:02:19.353121,2023-11-09T02:02:19.352608,2023-11-09T02:03:32.350701,2023-11-09T02:04:46.387163,147034.042
72,2023-11-09T02:02:19.356742,2023-11-09T02:02:19.355842,2023-11-09T02:04:46.388658,2023-11-09T02:06:04.519443,225162.701
75,2023-11-09T02:02:19.462525,2023-11-09T02:02:19.462889,2023-11-09T02:06:04.521088,2023-11-09T02:07:20.207127,300744.602
74,2023-11-09T02:02:19.514495,2023-11-09T02:02:19.514858,2023-11-09T02:07:20.207721,2023-11-09T02:08:35.389144,375874.649
77,2023-11-09T02:02:19.733465,2023-11-09T02:03:32.351854,2023-11-09T02:08:35.390153,2023-11-09T02:09:49.106902,449373.43700000003
78,2023-11-09T02:02:19.775809,2023-11-09T02:04:46.389156,2023-11-09T02:09:49.107926,2023-11-09T02:11:02.237903,522462.094
80,2023-11-09T02:02:19.791393,2023-11-09T02:06:04.522484,2023-11-09T02:11:02.238997,2023-11-09T02:12:16.263845,596472.4519999999
79,2023-11-09T02:02:19.872384,2023-11-09T02:07:20.208964,2023-11-09T02:12:16.265089,2023-11-09T02:13:28.848229,668975.8450000001
73,2023-11-09T02:02:20.390670,2023-11-09T02:08:35.391549,2023-11-09T02:13:28.849495,2023-11-09T02:14:42.814899,742424.2289999999
81,2023-11-09T02:02:20.896233,2023-11-09T02:09:49.109172,2023-11-09T02:14:42.816156,2023-11-09T02:15:56.082177,815185.9439999999
86,2023-11-09T02:02:20.930636,2023-11-09T02:11:02.239582,2023-11-09T02:15:56.083510,2023-11-09T02:17:09.495384,888564.748
84,2023-11-09T02:02:20.958485,2023-11-09T02:12:16.265842,2023-11-09T02:17:09.496101,2023-11-09T02:18:23.288606,962330.1209999999
83,2023-11-09T02:02:20.961768,2023-11-09T02:13:28.850262,2023-11-09T02:18:23.289696,2023-11-09T02:19:36.736311,1035774.543
85,2023-11-09T02:02:20.969684,2023-11-09T02:14:42.817309,2023-11-09T02:19:36.738474,2023-11-09T02:20:50.584238,1109614.554
82,2023-11-09T02:02:21.236546,2023-11-09T02:15:56.084410,2023-11-09T02:20:50.585343,2023-11-09T02:22:04.950763,1183714.217
87,2023-11-09T02:02:21.312537,2023-11-09T02:17:09.497804,2023-11-09T02:22:04.951411,2023-11-09T02:23:18.967669,1257655.132
89,2023-11-09T02:02:21.341516,2023-11-09T02:18:23.290134,2023-11-09T02:23:18.968686,2023-11-09T02:24:31.860521,1330519.0050000001
88,2023-11-09T02:02:21.539109,2023-11-09T02:19:36.738945,2023-11-09T02:24:31.861314,2023-11-09T02:25:45.044301,1403505.192
90,2023-11-09T02:02:21.608737,2023-11-09T02:20:50.586058,2023-11-09T02:25:45.044990,2023-11-09T02:26:57.319717,1475710.98
