id_video,sent,received,started,succeeded,time_request
91,2023-11-09T02:29:42.829791,2023-11-09T02:29:42.830094,2023-11-09T02:29:42.831706,2023-11-09T02:30:56.717646,73887.855
95,2023-11-09T02:29:42.833198,2023-11-09T02:29:42.831221,2023-11-09T02:30:56.750937,2023-11-09T02:32:10.979286,148146.088
92,2023-11-09T02:29:42.836288,2023-11-09T02:29:42.834932,2023-11-09T02:32:10.980060,2023-11-09T02:33:25.626661,222790.373
94,2023-11-09T02:29:42.841373,2023-11-09T02:29:42.838029,2023-11-09T02:33:25.627594,2023-11-09T02:34:38.943475,296102.102
96,2023-11-09T02:29:42.940825,2023-11-09T02:29:42.941213,2023-11-09T02:34:38.944831,2023-11-09T02:35:51.918040,368977.215
99,2023-11-09T02:29:43.207752,2023-11-09T02:30:56.751297,2023-11-09T02:35:51.919108,2023-11-09T02:37:07.330400,444122.64800000004
100,2023-11-09T02:29:43.323844,2023-11-09T02:32:10.981218,2023-11-09T02:37:07.331242,2023-11-09T02:38:21.149303,517825.45900000003
97,2023-11-09T02:29:43.332470,2023-11-09T02:33:25.628945,2023-11-09T02:38:21.150430,2023-11-09T02:39:35.077051,591744.581
98,2023-11-09T02:29:43.346228,2023-11-09T02:34:38.945497,2023-11-09T02:39:35.078192,2023-11-09T02:40:49.074317,665728.0889999999
93,2023-11-09T02:29:43.553914,2023-11-09T02:35:51.920491,2023-11-09T02:40:49.074886,2023-11-09T02:42:03.868128,740314.214
101,2023-11-09T02:29:44.345389,2023-11-09T02:37:07.332822,2023-11-09T02:42:03.890494,2023-11-09T02:43:18.147317,813801.928
102,2023-11-09T02:29:44.366984,2023-11-09T02:38:21.151208,2023-11-09T02:43:18.148670,2023-11-09T02:44:31.885174,887518.1900000001
104,2023-11-09T02:29:44.419184,2023-11-09T02:39:35.079267,2023-11-09T02:44:31.885875,2023-11-09T02:45:45.981662,961562.478
106,2023-11-09T02:29:44.522038,2023-11-09T02:40:49.076247,2023-11-09T02:45:45.982450,2023-11-09T02:46:59.695936,1035173.898
103,2023-11-09T02:29:44.697707,2023-11-09T02:42:03.890719,2023-11-09T02:46:59.696961,2023-11-09T02:48:14.562870,1109865.163
105,2023-11-09T02:29:44.722477,2023-11-09T02:43:18.149761,2023-11-09T02:48:14.563703,2023-11-09T02:49:27.185206,1182462.729
109,2023-11-09T02:29:45.317933,2023-11-09T02:44:31.887122,2023-11-09T02:49:27.185816,2023-11-09T02:50:39.183879,1253865.946
107,2023-11-09T02:29:45.399465,2023-11-09T02:45:45.983874,2023-11-09T02:50:39.184675,2023-11-09T02:51:50.840975,1325441.51
108,2023-11-09T02:29:45.404364,2023-11-09T02:46:59.697821,2023-11-09T02:51:50.842073,2023-11-09T02:53:04.272113,1398867.749
110,2023-11-09T02:29:45.410302,2023-11-09T02:48:14.564942,2023-11-09T02:53:04.273233,2023-11-09T02:54:18.346588,1472936.286
