id_video,sent,received,started,succeeded,time_request
41,2023-10-28T04:13:13.341474,2023-10-28T04:13:13.339007,2023-10-28T04:13:13.341050,2023-10-28T04:14:27.686043,74344.569
43,2023-10-28T04:13:13.338352,2023-10-28T04:13:13.339310,2023-10-28T04:14:27.688014,2023-10-28T04:15:41.312933,147974.581
44,2023-10-28T04:13:13.343277,2023-10-28T04:13:13.340800,2023-10-28T04:15:41.314077,2023-10-28T04:16:54.889959,221546.682
46,2023-10-28T04:13:13.508782,2023-10-28T04:13:13.509826,2023-10-28T04:16:54.890643,2023-10-28T04:18:09.190661,295681.87899999996
42,2023-10-28T04:13:13.514527,2023-10-28T04:13:13.510428,2023-10-28T04:18:09.191286,2023-10-28T04:19:22.518166,369003.639
45,2023-10-28T04:13:13.533235,2023-10-28T04:14:27.688308,2023-10-28T04:19:22.518820,2023-10-28T04:20:36.024385,442491.15
47,2023-10-28T04:13:14.210084,2023-10-28T04:15:41.314718,2023-10-28T04:20:36.025114,2023-10-28T04:21:49.106618,514896.534
50,2023-10-28T04:13:14.288440,2023-10-28T04:16:54.891939,2023-10-28T04:21:49.107095,2023-10-28T04:23:02.030826,587742.386
49,2023-10-28T04:13:14.290044,2023-10-28T04:18:09.192397,2023-10-28T04:23:02.031578,2023-10-28T04:24:15.269992,660979.9480000001
51,2023-10-28T04:13:14.296440,2023-10-28T04:19:22.519593,2023-10-28T04:24:15.270775,2023-10-28T04:25:28.459894,734163.454
48,2023-10-28T04:13:14.331600,2023-10-28T04:20:36.026449,2023-10-28T04:25:28.460944,2023-10-28T04:26:41.556366,807224.7660000001
52,2023-10-28T04:13:14.342654,2023-10-28T04:21:49.108322,2023-10-28T04:26:41.557607,2023-10-28T04:27:54.883838,880541.184
54,2023-10-28T04:13:15.123681,2023-10-28T04:23:02.032693,2023-10-28T04:27:54.884672,2023-10-28T04:29:08.202509,953078.8280000001
55,2023-10-28T04:13:15.244408,2023-10-28T04:24:15.271728,2023-10-28T04:29:08.203444,2023-10-28T04:30:21.074326,1025829.918
58,2023-10-28T04:13:15.246483,2023-10-28T04:25:28.462096,2023-10-28T04:30:21.074983,2023-10-28T04:31:34.664571,1099418.088
56,2023-10-28T04:13:15.247185,2023-10-28T04:26:41.558909,2023-10-28T04:31:34.666028,2023-10-28T04:32:47.727997,1172480.812
57,2023-10-28T04:13:15.353164,2023-10-28T04:27:54.885600,2023-10-28T04:32:47.728472,2023-10-28T04:34:00.370604,1245017.4400000002
53,2023-10-28T04:13:15.347885,2023-10-28T04:29:08.205257,2023-10-28T04:34:00.371701,2023-10-28T04:35:12.511896,1317164.0110000002
59,2023-10-28T04:13:15.600539,2023-10-28T04:30:21.075980,2023-10-28T04:35:12.512409,2023-10-28T04:36:23.982733,1388382.1940000001
60,2023-10-28T04:13:15.609879,2023-10-28T04:31:34.667198,2023-10-28T04:36:23.983603,2023-10-28T04:37:35.844702,1460234.823
61,2023-10-28T04:13:16.157326,2023-10-28T04:32:47.729548,2023-10-28T04:37:35.845356,2023-10-28T04:38:48.044155,1531886.8290000001
62,2023-10-28T04:13:16.247695,2023-10-28T04:34:00.372679,2023-10-28T04:38:48.044713,2023-10-28T04:39:59.879285,1603631.5899999999
65,2023-10-28T04:13:16.252515,2023-10-28T04:35:12.512905,2023-10-28T04:39:59.880460,2023-10-28T04:41:12.810068,1676557.553
63,2023-10-28T04:13:16.262467,2023-10-28T04:36:23.984855,2023-10-28T04:41:12.811160,2023-10-28T04:42:26.049504,1749787.037
64,2023-10-28T04:13:16.264617,2023-10-28T04:37:35.846737,2023-10-28T04:42:26.050780,2023-10-28T04:43:39.588589,1823323.9719999998
68,2023-10-28T04:13:17.131781,2023-10-28T04:38:48.046353,2023-10-28T04:43:39.589238,2023-10-28T04:44:53.023838,1895892.057
67,2023-10-28T04:13:17.135077,2023-10-28T04:39:59.881918,2023-10-28T04:44:53.024872,2023-10-28T04:46:06.161598,1969026.521
69,2023-10-28T04:13:17.140534,2023-10-28T04:41:12.811923,2023-10-28T04:46:06.162326,2023-10-28T04:47:19.696628,2042556.094
66,2023-10-28T04:13:17.141909,2023-10-28T04:42:26.052170,2023-10-28T04:47:19.697738,2023-10-28T04:48:33.000674,2115858.765
71,2023-10-28T04:13:17.149398,2023-10-28T04:43:39.590322,2023-10-28T04:48:33.001290,2023-10-28T04:49:47.162791,2190013.393
70,2023-10-28T04:13:17.152867,2023-10-28T04:44:53.026369,2023-10-28T04:49:47.163534,2023-10-28T04:51:01.065257,2263912.39
72,2023-10-28T04:13:17.649005,2023-10-28T04:46:06.163105,2023-10-28T04:51:01.066206,2023-10-28T04:52:15.364754,2337715.749
73,2023-10-28T04:13:17.651541,2023-10-28T04:47:19.699023,2023-10-28T04:52:15.366285,2023-10-28T04:53:29.166979,2411515.438
75,2023-10-28T04:13:17.897042,2023-10-28T04:48:33.003130,2023-10-28T04:53:29.168042,2023-10-28T04:54:42.331632,2484434.59
77,2023-10-28T04:13:17.915188,2023-10-28T04:49:47.164408,2023-10-28T04:54:42.332274,2023-10-28T04:55:55.636160,2557720.972
74,2023-10-28T04:13:17.917287,2023-10-28T04:51:01.067027,2023-10-28T04:55:55.636813,2023-10-28T04:57:08.620500,2630703.213
76,2023-10-28T04:13:17.922304,2023-10-28T04:52:15.366999,2023-10-28T04:57:08.621160,2023-10-28T04:58:21.565966,2703643.662
78,2023-10-28T04:13:18.264148,2023-10-28T04:53:29.169377,2023-10-28T04:58:21.566853,2023-10-28T04:59:35.717865,2777453.7169999997
79,2023-10-28T04:13:18.266073,2023-10-28T04:54:42.333305,2023-10-28T04:59:35.718735,2023-10-28T05:00:49.540764,2851274.691
80,2023-10-28T04:13:18.269293,2023-10-28T04:55:55.637661,2023-10-28T05:00:49.541510,2023-10-28T05:02:03.356300,2925087.007
