id_video,sent,finished,time_request
27,2023-12-01T15:39:57.998Z,2023-12-01T15:42:52.413019Z,174415.019
24,2023-12-01T15:39:57.235Z,2023-12-01T15:42:53.851908Z,176616.908
21,2023-12-01T15:39:57.154Z,2023-12-01T15:43:03.730125Z,186576.125
26,2023-12-01T15:39:57.96Z,2023-12-01T15:45:44.870744Z,346910.744
23,2023-12-01T15:39:57.388Z,2023-12-01T15:45:57.938133Z,360550.13300000003
22,2023-12-01T15:39:57.229Z,2023-12-01T15:46:00.403308Z,363174.308
28,2023-12-01T15:39:57.918Z,2023-12-01T15:48:44.657427Z,526739.427
30,2023-12-01T15:39:57.98Z,2023-12-01T15:48:56.474676Z,538494.676
25,2023-12-01T15:39:57.229Z,2023-12-01T15:49:18.376525Z,561147.525
29,2023-12-01T15:39:58.011Z,2023-12-01T15:51:31.316917Z,693305.917
