id_video,sent,finished,time_request
174,2023-11-18T00:36:37.968672,2023-11-18T00:37:55.876716,77908.04400000001
169,2023-11-18T00:36:37.500384,2023-11-18T00:39:15.571263,158070.879
167,2023-11-18T00:36:37.713540,2023-11-18T00:40:33.077620,235364.08
160,2023-11-18T00:36:37.026137,2023-11-18T00:40:38.080887,241054.75
162,2023-11-18T00:36:37.049418,2023-11-18T00:41:50.155949,313106.531
164,2023-11-18T00:36:37.053573,2023-11-18T00:41:53.964909,316911.336
171,2023-11-18T00:36:37.716401,2023-11-18T00:43:07.429918,389713.51700000005
163,2023-11-18T00:36:37.083352,2023-11-18T00:43:10.953643,393870.291
168,2023-11-18T00:36:37.591833,2023-11-18T00:43:43.614740,426022.90699999995
166,2023-11-18T00:36:37.611271,2023-11-18T00:44:22.829094,465217.82300000003
165,2023-11-18T00:36:36.988941,2023-11-18T00:44:26.699892,469710.951
172,2023-11-18T00:36:37.996080,2023-11-18T00:44:57.641699,499645.619
192,2023-11-18T00:36:39.618636,2023-11-18T00:45:40.693050,541074.414
161,2023-11-18T00:36:37.355493,2023-11-18T00:45:43.726186,546370.693
173,2023-11-18T00:36:37.933125,2023-11-18T00:46:11.946137,574013.012
176,2023-11-18T00:36:38.120844,2023-11-18T00:46:57.361270,619240.426
177,2023-11-18T00:36:38.287713,2023-11-18T00:47:00.933484,622645.771
178,2023-11-18T00:36:38.387633,2023-11-18T00:47:26.631945,648244.312
193,2023-11-18T00:36:39.945824,2023-11-18T00:48:16.661990,696716.1660000001
170,2023-11-18T00:36:37.947413,2023-11-18T00:48:18.789302,700841.8890000001
175,2023-11-18T00:36:38.138085,2023-11-18T00:48:41.452917,723314.832
179,2023-11-18T00:36:38.310217,2023-11-18T00:49:36.464912,778154.695
181,2023-11-18T00:36:38.850529,2023-11-18T00:49:38.210814,779360.285
180,2023-11-18T00:36:38.876768,2023-11-18T00:49:55.821806,796945.038
188,2023-11-18T00:36:39.419634,2023-11-18T00:50:53.018607,853598.973
184,2023-11-18T00:36:38.864179,2023-11-18T00:50:56.456160,857591.981
183,2023-11-18T00:36:38.868531,2023-11-18T00:51:11.484329,872615.7980000001
190,2023-11-18T00:36:39.491906,2023-11-18T00:52:10.869906,931378.0
182,2023-11-18T00:36:38.886569,2023-11-18T00:52:15.432600,936546.031
185,2023-11-18T00:36:38.887313,2023-11-18T00:52:28.021559,949134.2459999999
187,2023-11-18T00:36:39.434783,2023-11-18T00:53:28.376764,1008941.981
186,2023-11-18T00:36:39.291400,2023-11-18T00:53:32.845551,1013554.1510000001
189,2023-11-18T00:36:39.343641,2023-11-18T00:53:43.429731,1024086.09
194,2023-11-18T00:36:39.773304,2023-11-18T00:54:46.405577,1086632.273
191,2023-11-18T00:36:39.393668,2023-11-18T00:54:48.468666,1089074.9980000001
196,2023-11-18T00:36:39.930194,2023-11-18T00:54:57.811643,1097881.449
195,2023-11-18T00:36:39.935264,2023-11-18T00:56:02.201120,1162265.856
198,2023-11-18T00:36:39.936509,2023-11-18T00:56:04.587073,1164650.564
197,2023-11-18T00:36:39.984425,2023-11-18T00:56:12.911006,1172926.581
199,2023-11-18T00:36:40.190969,2023-11-18T00:57:18.528996,1238338.027
