id_video,sent,finished,time_request
208,2023-11-18T01:22:03.836102,2023-11-18T01:23:21.376405,77540.303
251,2023-11-18T01:22:06.525654,2023-11-18T01:24:39.896058,153370.404
212,2023-11-18T01:22:03.964793,2023-11-18T01:25:55.585736,231620.943
211,2023-11-18T01:22:03.684151,2023-11-18T01:26:30.675126,266990.975
210,2023-11-18T01:22:03.685923,2023-11-18T01:27:12.101575,308415.652
202,2023-11-18T01:22:03.242791,2023-11-18T01:27:47.460133,344217.34199999995
233,2023-11-18T01:22:05.297278,2023-11-18T01:28:30.549287,385252.00899999996
215,2023-11-18T01:22:04.082301,2023-11-18T01:29:05.483402,421401.10099999997
213,2023-11-18T01:22:03.982696,2023-11-18T01:29:47.181646,463198.95
203,2023-11-18T01:22:03.080501,2023-11-18T01:29:53.919846,470839.345
201,2023-11-18T01:22:03.171804,2023-11-18T01:30:22.699109,499527.305
236,2023-11-18T01:22:05.459529,2023-11-18T01:31:04.855944,539396.415
207,2023-11-18T01:22:03.605142,2023-11-18T01:31:14.774627,551169.485
209,2023-11-18T01:22:03.606303,2023-11-18T01:31:38.929562,575323.259
204,2023-11-18T01:22:03.015402,2023-11-18T01:32:21.345314,618329.912
200,2023-11-18T01:22:03.025312,2023-11-18T01:32:34.468697,631443.385
205,2023-11-18T01:22:03.042068,2023-11-18T01:32:55.642377,652600.309
243,2023-11-18T01:22:06.059849,2023-11-18T01:33:39.222886,693163.037
206,2023-11-18T01:22:03.760948,2023-11-18T01:33:52.096094,708335.1460000001
220,2023-11-18T01:22:04.463635,2023-11-18T01:34:13.247355,728783.72
218,2023-11-18T01:22:04.299474,2023-11-18T01:34:57.713750,773414.276
224,2023-11-18T01:22:04.652887,2023-11-18T01:35:08.688906,784036.019
228,2023-11-18T01:22:04.871150,2023-11-18T01:35:29.480592,804609.4419999999
219,2023-11-18T01:22:04.376053,2023-11-18T01:36:14.728178,850352.125
226,2023-11-18T01:22:04.778312,2023-11-18T01:36:24.689620,859911.308
234,2023-11-18T01:22:05.258184,2023-11-18T01:36:46.859541,881601.357
216,2023-11-18T01:22:04.228932,2023-11-18T01:37:32.637110,928408.1780000001
214,2023-11-18T01:22:04.107711,2023-11-18T01:37:40.872236,936764.525
217,2023-11-18T01:22:04.197917,2023-11-18T01:38:04.082863,959884.946
248,2023-11-18T01:22:06.635396,2023-11-18T01:38:49.644733,1003009.3369999999
222,2023-11-18T01:22:04.552253,2023-11-18T01:38:56.884605,1012332.3520000001
221,2023-11-18T01:22:04.558553,2023-11-18T01:39:20.666961,1036108.408
239,2023-11-18T01:22:05.602263,2023-11-18T01:40:07.095753,1081493.49
225,2023-11-18T01:22:04.745582,2023-11-18T01:40:11.719695,1086974.113
227,2023-11-18T01:22:04.912618,2023-11-18T01:40:37.223995,1112311.377
259,2023-11-18T01:22:07.311728,2023-11-18T01:41:23.631458,1156319.73
223,2023-11-18T01:22:04.601286,2023-11-18T01:41:28.100511,1163499.225
229,2023-11-18T01:22:04.914857,2023-11-18T01:41:53.952123,1189037.266
238,2023-11-18T01:22:05.494433,2023-11-18T01:42:40.125596,1234631.163
230,2023-11-18T01:22:05.048742,2023-11-18T01:42:42.990277,1237941.535
231,2023-11-18T01:22:05.133309,2023-11-18T01:43:11.853229,1266719.92
245,2023-11-18T01:22:06.103837,2023-11-18T01:43:57.664349,1311560.512
232,2023-11-18T01:22:05.103060,2023-11-18T01:43:58.294297,1313191.237
235,2023-11-18T01:22:05.438208,2023-11-18T01:44:29.540426,1344102.2179999999
256,2023-11-18T01:22:06.923094,2023-11-18T01:45:13.226801,1386303.707
249,2023-11-18T01:22:06.500490,2023-11-18T01:45:15.351420,1388850.9300000002
237,2023-11-18T01:22:05.439124,2023-11-18T01:45:46.578335,1421139.211
257,2023-11-18T01:22:06.949391,2023-11-18T01:46:28.897281,1461947.89
263,2023-11-18T01:22:07.394096,2023-11-18T01:46:29.171272,1461777.176
265,2023-11-18T01:22:07.622555,2023-11-18T01:47:02.396423,1494773.868
246,2023-11-18T01:22:06.424333,2023-11-18T01:47:44.682593,1538258.26
268,2023-11-18T01:22:07.668107,2023-11-18T01:47:45.454387,1537786.28
247,2023-11-18T01:22:06.410272,2023-11-18T01:48:19.630340,1573220.068
244,2023-11-18T01:22:06.031063,2023-11-18T01:49:00.319574,1614288.511
