id_video,sent,received,started,succeeded,time_request
4,2023-10-28T00:52:39.494458,2023-10-28T00:52:39.494860,2023-10-28T00:52:39.495933,2023-10-28T00:53:56.496032,77001.57400000001
3,2023-10-28T00:52:39.550076,2023-10-28T00:52:39.545500,2023-10-28T00:53:56.496959,2023-10-28T00:55:13.507222,153957.146
2,2023-10-28T00:52:39.555500,2023-10-28T00:52:39.555740,2023-10-28T00:55:13.508938,2023-10-28T00:56:30.096731,230541.231
1,2023-10-28T00:52:39.559010,2023-10-28T00:52:39.558442,2023-10-28T00:56:30.098245,2023-10-28T00:57:46.255245,306696.235
5,2023-10-28T00:52:39.560967,2023-10-28T00:52:39.561209,2023-10-28T00:57:46.256570,2023-10-28T00:59:04.449133,384888.166
6,2023-10-28T00:52:40.101019,2023-10-28T00:53:56.498455,2023-10-28T00:59:04.450028,2023-10-28T01:00:21.573972,461472.95300000004
7,2023-10-28T00:52:40.229005,2023-10-28T00:55:13.510355,2023-10-28T01:00:21.575556,2023-10-28T01:01:38.751811,538522.806
9,2023-10-28T00:52:40.233061,2023-10-28T00:56:30.099202,2023-10-28T01:01:38.753305,2023-10-28T01:02:55.599326,615366.265
10,2023-10-28T00:52:40.236884,2023-10-28T00:57:46.257901,2023-10-28T01:02:55.600073,2023-10-28T01:04:13.291422,693054.538
8,2023-10-28T00:52:40.241399,2023-10-28T00:59:04.451125,2023-10-28T01:04:13.292833,2023-10-28T01:05:30.388406,770147.007
