id_video,sent,finished,time_request
123,2023-11-18T20:04:19.200368,2023-11-18T20:05:36.554313,77353.94499999999
137,2023-11-18T20:04:20.178844,2023-11-18T20:06:54.142657,153963.813
127,2023-11-18T20:04:19.721153,2023-11-18T20:08:07.099715,227378.56199999998
130,2023-11-18T20:04:19.726912,2023-11-18T20:08:10.052340,230325.42799999999
138,2023-11-18T20:04:20.342806,2023-11-18T20:09:23.476475,303133.669
122,2023-11-18T20:04:19.206137,2023-11-18T20:09:24.678358,305472.221
135,2023-11-18T20:04:20.207880,2023-11-18T20:10:39.302518,379094.638
125,2023-11-18T20:04:19.242577,2023-11-18T20:10:41.812097,382569.52
132,2023-11-18T20:04:19.781288,2023-11-18T20:11:29.916757,430135.469
168,2023-11-18T20:04:22.687877,2023-11-18T20:11:56.536604,453848.727
128,2023-11-18T20:04:19.950343,2023-11-18T20:11:58.898258,458947.91500000004
136,2023-11-18T20:04:20.184649,2023-11-18T20:12:47.594065,507409.416
133,2023-11-18T20:04:20.005352,2023-11-18T20:13:13.411527,533406.1749999999
139,2023-11-18T20:04:20.414408,2023-11-18T20:13:15.608399,535193.991
140,2023-11-18T20:04:20.536400,2023-11-18T20:14:04.160129,583623.729
126,2023-11-18T20:04:19.208089,2023-11-18T20:14:30.147014,610938.925
141,2023-11-18T20:04:20.565229,2023-11-18T20:14:30.682499,610117.27
124,2023-11-18T20:04:19.217417,2023-11-18T20:15:20.216517,660999.1
167,2023-11-18T20:04:22.618581,2023-11-18T20:15:46.484442,683865.861
159,2023-11-18T20:04:21.634899,2023-11-18T20:15:47.032868,685397.969
142,2023-11-18T20:04:20.524110,2023-11-18T20:16:36.686984,736162.874
177,2023-11-18T20:04:23.121287,2023-11-18T20:17:02.956011,759834.724
145,2023-11-18T20:04:20.768517,2023-11-18T20:17:02.627203,761858.686
143,2023-11-18T20:04:20.723004,2023-11-18T20:17:54.242472,813519.468
131,2023-11-18T20:04:19.677290,2023-11-18T20:18:18.575048,838897.7579999999
121,2023-11-18T20:04:19.262569,2023-11-18T20:18:20.013906,840751.337
129,2023-11-18T20:04:19.752250,2023-11-18T20:19:11.370547,891618.297
157,2023-11-18T20:04:21.498840,2023-11-18T20:19:35.221060,913722.22
164,2023-11-18T20:04:22.288060,2023-11-18T20:19:35.966877,913678.817
147,2023-11-18T20:04:20.870498,2023-11-18T20:20:28.774667,967904.169
146,2023-11-18T20:04:20.892565,2023-11-18T20:20:51.009330,990116.765
172,2023-11-18T20:04:22.960843,2023-11-18T20:20:52.293052,989332.209
134,2023-11-18T20:04:20.164549,2023-11-18T20:21:46.281053,1046116.5040000001
144,2023-11-18T20:04:20.724907,2023-11-18T20:22:07.249943,1066525.036
181,2023-11-18T20:04:23.563789,2023-11-18T20:22:07.853851,1064290.062
154,2023-11-18T20:04:21.297610,2023-11-18T20:23:02.759042,1121461.432
152,2023-11-18T20:04:21.403218,2023-11-18T20:23:23.220557,1141817.339
189,2023-11-18T20:04:24.140141,2023-11-18T20:23:24.574131,1140433.99
150,2023-11-18T20:04:21.080593,2023-11-18T20:24:19.811423,1198730.83
148,2023-11-18T20:04:20.947602,2023-11-18T20:24:40.569980,1219622.378
149,2023-11-18T20:04:21.134270,2023-11-18T20:24:41.528541,1220394.271
155,2023-11-18T20:04:21.434405,2023-11-18T20:25:37.330660,1275896.2550000001
176,2023-11-18T20:04:23.079990,2023-11-18T20:25:57.115405,1294035.415
151,2023-11-18T20:04:21.120684,2023-11-18T20:25:57.683972,1296563.288
153,2023-11-18T20:04:21.307455,2023-11-18T20:26:55.407410,1354099.9549999998
179,2023-11-18T20:04:23.324576,2023-11-18T20:27:13.573236,1370248.66
187,2023-11-18T20:04:24.006161,2023-11-18T20:27:15.168922,1371162.761
163,2023-11-18T20:04:22.271718,2023-11-18T20:28:11.296779,1429025.061
175,2023-11-18T20:04:23.087871,2023-11-18T20:28:30.399389,1447311.518
160,2023-11-18T20:04:21.750516,2023-11-18T20:28:33.036714,1451286.198
165,2023-11-18T20:04:22.240010,2023-11-18T20:29:27.678426,1505438.416
