id_video,sent,finished,time_request
42,2023-11-18T18:32:07.660419,2023-11-18T18:33:25.445035,77784.616
59,2023-11-18T18:32:08.937533,2023-11-18T18:34:42.536874,153599.34100000001
58,2023-11-18T18:32:08.961071,2023-11-18T18:35:59.688348,230727.27699999997
44,2023-11-18T18:32:07.705926,2023-11-18T18:36:09.336225,241630.299
41,2023-11-18T18:32:07.812644,2023-11-18T18:37:17.189836,309377.192
53,2023-11-18T18:32:08.590790,2023-11-18T18:37:24.374982,315784.19200000004
50,2023-11-18T18:32:08.279320,2023-11-18T18:38:33.254560,384975.24
43,2023-11-18T18:32:07.676353,2023-11-18T18:38:40.637278,392960.925
60,2023-11-18T18:32:09.064394,2023-11-18T18:39:41.776968,452712.574
45,2023-11-18T18:32:07.677717,2023-11-18T18:39:49.026096,461348.379
46,2023-11-18T18:32:07.647254,2023-11-18T18:39:57.835846,470188.592
57,2023-11-18T18:32:08.938742,2023-11-18T18:40:57.557201,528618.459
54,2023-11-18T18:32:08.611879,2023-11-18T18:41:05.982630,537370.751
55,2023-11-18T18:32:08.673799,2023-11-18T18:41:15.294250,546620.451
48,2023-11-18T18:32:08.151313,2023-11-18T18:42:13.589631,605438.318
47,2023-11-18T18:32:08.501884,2023-11-18T18:42:22.837845,614335.961
51,2023-11-18T18:32:08.775639,2023-11-18T18:42:33.240782,624465.143
64,2023-11-18T18:32:09.493087,2023-11-18T18:43:30.089697,680596.6100000001
49,2023-11-18T18:32:08.230545,2023-11-18T18:43:40.191206,691960.661
52,2023-11-18T18:32:08.243921,2023-11-18T18:43:49.393389,701149.468
56,2023-11-18T18:32:08.681824,2023-11-18T18:44:46.063739,757381.915
61,2023-11-18T18:32:09.518265,2023-11-18T18:44:56.544976,767026.711
65,2023-11-18T18:32:09.531725,2023-11-18T18:45:04.608503,775076.7779999999
66,2023-11-18T18:32:09.532718,2023-11-18T18:46:02.664442,833131.7239999999
62,2023-11-18T18:32:09.553694,2023-11-18T18:46:13.924606,844370.912
63,2023-11-18T18:32:09.592706,2023-11-18T18:46:20.568996,850976.2899999999
79,2023-11-18T18:32:10.647310,2023-11-18T18:47:18.646613,907999.3030000001
69,2023-11-18T18:32:09.943095,2023-11-18T18:47:29.351750,919408.6549999999
68,2023-11-18T18:32:09.950614,2023-11-18T18:47:35.715568,925764.954
71,2023-11-18T18:32:09.981020,2023-11-18T18:48:34.255180,984274.16
72,2023-11-18T18:32:09.966678,2023-11-18T18:48:43.755006,993788.328
67,2023-11-18T18:32:09.968809,2023-11-18T18:48:50.097036,1000128.2270000001
70,2023-11-18T18:32:10.018767,2023-11-18T18:49:50.040600,1060021.833
74,2023-11-18T18:32:10.309252,2023-11-18T18:49:58.376179,1068066.9270000001
77,2023-11-18T18:32:10.355458,2023-11-18T18:50:06.661018,1076305.56
73,2023-11-18T18:32:10.478420,2023-11-18T18:51:05.959813,1135481.393
76,2023-11-18T18:32:10.453609,2023-11-18T18:51:14.245779,1143792.17
78,2023-11-18T18:32:10.483420,2023-11-18T18:51:23.631448,1153148.0280000002
80,2023-11-18T18:32:10.737681,2023-11-18T18:52:20.981675,1210243.994
75,2023-11-18T18:32:10.555487,2023-11-18T18:52:30.219358,1219663.871
