id_video,sent,received,started,succeeded,time_request
15,2023-10-28T01:31:59.731298,2023-10-28T01:31:59.732399,2023-10-28T01:31:59.733307,2023-10-28T01:33:17.677123,77945.825
14,2023-10-28T01:31:59.737439,2023-10-28T01:31:59.734836,2023-10-28T01:33:17.678953,2023-10-28T01:34:35.113938,155376.49899999998
12,2023-10-28T01:31:59.735194,2023-10-28T01:31:59.736654,2023-10-28T01:34:35.115128,2023-10-28T01:35:52.931956,233196.76200000002
11,2023-10-28T01:31:59.739558,2023-10-28T01:31:59.739891,2023-10-28T01:35:52.933948,2023-10-28T01:37:11.116588,311377.02999999997
13,2023-10-28T01:31:59.743343,2023-10-28T01:31:59.743555,2023-10-28T01:37:11.117254,2023-10-28T01:38:28.951368,389208.025
16,2023-10-28T01:32:00.567539,2023-10-28T01:33:17.679724,2023-10-28T01:38:28.952505,2023-10-28T01:39:46.857352,466289.81299999997
20,2023-10-28T01:32:00.570440,2023-10-28T01:34:35.116523,2023-10-28T01:39:46.858850,2023-10-28T01:41:04.202084,543631.6440000001
18,2023-10-28T01:32:00.574261,2023-10-28T01:35:52.935403,2023-10-28T01:41:04.203647,2023-10-28T01:42:21.541473,620967.212
19,2023-10-28T01:32:00.580134,2023-10-28T01:37:11.118985,2023-10-28T01:42:21.542101,2023-10-28T01:43:38.316365,697736.231
17,2023-10-28T01:32:00.575592,2023-10-28T01:38:28.953761,2023-10-28T01:43:38.317324,2023-10-28T01:44:54.980901,774405.309
