id_video,sent,finished,time_request
14,2023-12-01T15:20:43.528Z,2023-12-01T15:23:44.106519Z,180578.519
11,2023-12-01T15:20:43.42Z,2023-12-01T15:23:44.314131Z,180894.131
13,2023-12-01T15:20:43.389Z,2023-12-01T15:23:38.872242Z,175483.242
17,2023-12-01T15:20:47.988Z,2023-12-01T15:26:38.909030Z,350921.02999999997
18,2023-12-01T15:20:48.651Z,2023-12-01T15:26:40.410770Z,351759.77
19,2023-12-01T15:20:48.035Z,2023-12-01T15:26:40.766376Z,352731.376
20,2023-12-01T15:20:48.114Z,2023-12-01T15:29:38.606078Z,530492.078
16,2023-12-01T15:20:48.123Z,2023-12-01T15:29:38.900845Z,530777.845
15,2023-12-01T15:20:47.478Z,2023-12-01T15:29:48.940569Z,541462.569
12,2023-12-01T15:20:49.354Z,2023-12-01T15:32:32.348069Z,702994.069
