id_video,sent,finished,time_request
10,2023-12-02T18:13:45.117Z,2023-12-02T18:16:18.904460Z,153787.46000000002
1,2023-12-02T18:13:44.452Z,2023-12-02T18:16:25.665835Z,161213.835
4,2023-12-02T18:13:44.676Z,2023-12-02T18:16:30.899316Z,166223.31600000002
20,2023-12-02T18:13:46.33Z,2023-12-02T18:18:56.396794Z,310066.794
13,2023-12-02T18:13:45.833Z,2023-12-02T18:19:06.179455Z,320346.455
14,2023-12-02T18:13:45.955Z,2023-12-02T18:19:20.772481Z,334817.48099999997
9,2023-12-02T18:13:45.153Z,2023-12-02T18:21:39.160157Z,474007.157
6,2023-12-02T18:13:44.676Z,2023-12-02T18:21:49.705544Z,485029.544
5,2023-12-02T18:13:44.685Z,2023-12-02T18:22:05.896113Z,501211.113
3,2023-12-02T18:13:44.634Z,2023-12-02T18:24:21.866684Z,637232.6839999999
15,2023-12-02T18:13:45.855Z,2023-12-02T18:24:30.096871Z,644241.8709999999
2,2023-12-02T18:13:44.762Z,2023-12-02T18:24:50.217363Z,665455.363
7,2023-12-02T18:13:44.931Z,2023-12-02T18:26:55.452894Z,790521.894
12,2023-12-02T18:13:45.919Z,2023-12-02T18:27:07.908506Z,801989.506
16,2023-12-02T18:13:45.919Z,2023-12-02T18:27:33.586481Z,827667.4809999999
8,2023-12-02T18:13:45.212Z,2023-12-02T18:29:33.514227Z,948302.2270000001
18,2023-12-02T18:13:46.368Z,2023-12-02T18:29:40.983274Z,954615.274
11,2023-12-02T18:13:45.799Z,2023-12-02T18:30:19.524062Z,993725.062
17,2023-12-02T18:13:46.221Z,2023-12-02T18:32:04.948192Z,1098727.192
19,2023-12-02T18:13:46.296Z,2023-12-02T18:32:18.824714Z,1112528.7140000002
