id_video,sent,received,started,succeeded,time_request
23,2023-11-09T00:40:40.021410,2023-11-09T00:40:40.021865,2023-11-09T00:40:40.023458,2023-11-09T00:41:54.741174,74719.764
22,2023-11-09T00:40:40.022566,2023-11-09T00:40:40.022811,2023-11-09T00:41:54.742032,2023-11-09T00:43:11.139574,151117.008
25,2023-11-09T00:40:40.053803,2023-11-09T00:40:40.054480,2023-11-09T00:43:11.140516,2023-11-09T00:44:26.882641,226828.838
24,2023-11-09T00:40:40.117451,2023-11-09T00:40:40.117850,2023-11-09T00:44:26.883403,2023-11-09T00:45:41.326627,301209.17600000004
21,2023-11-09T00:40:40.434460,2023-11-09T00:40:40.434852,2023-11-09T00:45:41.327791,2023-11-09T00:46:54.330892,373896.43200000003
27,2023-11-09T00:40:40.951081,2023-11-09T00:41:54.743704,2023-11-09T00:46:54.331583,2023-11-09T00:48:07.808132,446857.05100000004
26,2023-11-09T00:40:40.980421,2023-11-09T00:43:11.141637,2023-11-09T00:48:07.810377,2023-11-09T00:49:24.492824,523512.40299999993
29,2023-11-09T00:40:41.005164,2023-11-09T00:44:26.885014,2023-11-09T00:49:24.493949,2023-11-09T00:50:39.800745,598795.581
30,2023-11-09T00:40:41.023107,2023-11-09T00:45:41.328738,2023-11-09T00:50:39.802028,2023-11-09T00:51:55.096104,674072.997
28,2023-11-09T00:40:41.250779,2023-11-09T00:46:54.333155,2023-11-09T00:51:55.097343,2023-11-09T00:53:10.758201,749507.422
