id_video,sent,received,started,succeeded,time_request
165,2023-11-09T18:38:56.229227,2023-11-09T18:38:56.228843,2023-11-09T18:38:56.230401,2023-11-09T18:40:11.760780,75531.553
166,2023-11-09T18:38:56.233364,2023-11-09T18:38:56.229610,2023-11-09T18:40:11.762325,2023-11-09T18:41:28.360263,152126.899
161,2023-11-09T18:38:56.240904,2023-11-09T18:38:56.241152,2023-11-09T18:41:28.360708,2023-11-09T18:42:45.644181,229403.277
164,2023-11-09T18:38:56.249008,2023-11-09T18:38:56.248681,2023-11-09T18:42:45.644726,2023-11-09T18:44:05.197873,308948.865
163,2023-11-09T18:38:56.302972,2023-11-09T18:38:56.301218,2023-11-09T18:44:05.198782,2023-11-09T18:45:21.724518,385421.546
162,2023-11-09T18:38:56.327761,2023-11-09T18:40:11.763723,2023-11-09T18:45:21.725057,2023-11-09T18:46:35.195851,458868.08999999997
170,2023-11-09T18:38:56.737569,2023-11-09T18:41:28.362102,2023-11-09T18:46:35.196713,2023-11-09T18:47:49.997348,533259.779
171,2023-11-09T18:38:56.736150,2023-11-09T18:42:45.646470,2023-11-09T18:47:49.998402,2023-11-09T18:49:07.385517,610649.367
168,2023-11-09T18:38:56.741886,2023-11-09T18:44:05.200153,2023-11-09T18:49:07.386517,2023-11-09T18:50:25.334702,688592.816
169,2023-11-09T18:38:56.777753,2023-11-09T18:45:21.726782,2023-11-09T18:50:25.335221,2023-11-09T18:51:42.404442,765626.689
167,2023-11-09T18:38:56.802319,2023-11-09T18:46:35.197909,2023-11-09T18:51:42.404969,2023-11-09T18:52:58.847217,842044.898
172,2023-11-09T18:38:56.907971,2023-11-09T18:47:49.999484,2023-11-09T18:52:58.848105,2023-11-09T18:54:11.689685,914781.7139999999
174,2023-11-09T18:38:57.171997,2023-11-09T18:49:07.387791,2023-11-09T18:54:11.690671,2023-11-09T18:55:25.522637,988350.64
178,2023-11-09T18:38:57.209619,2023-11-09T18:50:25.336758,2023-11-09T18:55:25.523147,2023-11-09T18:56:40.011697,1062802.078
176,2023-11-09T18:38:57.227968,2023-11-09T18:51:42.406502,2023-11-09T18:56:40.012384,2023-11-09T18:57:53.501390,1136273.422
175,2023-11-09T18:38:57.281299,2023-11-09T18:52:58.849061,2023-11-09T18:57:53.502203,2023-11-09T18:59:06.475102,1209193.8029999998
