id_video,sent,finished,time_request
255,2023-12-01T21:22:43.917Z,2023-12-01T21:25:39.024367Z,175107.367
254,2023-12-01T21:22:44.009Z,2023-12-01T21:25:39.124605Z,175115.60499999998
259,2023-12-01T21:22:44.444Z,2023-12-01T21:25:40.378358Z,175934.358
261,2023-12-01T21:22:45.47Z,2023-12-01T21:28:53.233507Z,367763.507
257,2023-12-01T21:22:44.18Z,2023-12-01T21:28:53.264260Z,369084.25999999995
256,2023-12-01T21:22:44.043Z,2023-12-01T21:29:01.679417Z,377636.417
263,2023-12-01T21:22:45.494Z,2023-12-01T21:32:03.741606Z,558247.606
258,2023-12-01T21:22:44.848Z,2023-12-01T21:32:09.727598Z,564879.598
253,2023-12-01T21:22:44.302Z,2023-12-01T21:32:24.479203Z,580177.203
260,2023-12-01T21:22:44.42Z,2023-12-01T21:35:07.091919Z,742671.919
265,2023-12-01T21:22:45.72Z,2023-12-01T21:35:12.301530Z,746581.53
267,2023-12-01T21:22:45.949Z,2023-12-01T21:35:19.358226Z,753409.226
251,2023-12-01T21:22:43.725Z,2023-12-01T21:38:12.352549Z,928627.549
262,2023-12-01T21:22:45.509Z,2023-12-01T21:38:20.063296Z,934554.296
266,2023-12-01T21:22:45.534Z,2023-12-01T21:38:22.254117Z,936720.117
264,2023-12-01T21:22:45.47Z,2023-12-01T21:41:09.192018Z,1103722.018
269,2023-12-01T21:22:45.949Z,2023-12-01T21:41:17.970963Z,1112021.963
268,2023-12-01T21:22:46.108Z,2023-12-01T21:41:21.944812Z,1115836.812
252,2023-12-01T21:22:43.967Z,2023-12-01T21:44:03.670485Z,1279703.485
270,2023-12-01T21:22:46.197Z,2023-12-01T21:44:10.212385Z,1284015.385
