id_video,sent,finished,time_request
41,2023-12-01T16:14:54.156Z,2023-12-01T16:18:04.928738Z,190772.738
42,2023-12-01T16:14:54.181Z,2023-12-01T16:18:06.503650Z,192322.65000000002
49,2023-12-01T16:14:54.925Z,2023-12-01T16:18:07.126970Z,192201.97
44,2023-12-01T16:14:54.329Z,2023-12-01T16:21:01.546031Z,367217.031
50,2023-12-01T16:14:54.915Z,2023-12-01T16:21:05.338558Z,370423.558
43,2023-12-01T16:14:54.329Z,2023-12-01T16:21:07.986262Z,373657.262
48,2023-12-01T16:14:54.945Z,2023-12-01T16:23:58.901087Z,543956.087
46,2023-12-01T16:14:54.871Z,2023-12-01T16:24:13.137635Z,558266.635
45,2023-12-01T16:14:54.346Z,2023-12-01T16:24:22.799673Z,568453.673
47,2023-12-01T16:14:54.871Z,2023-12-01T16:26:46.285503Z,711414.503
