id_video,sent,received,started,succeeded,time_request
31,2023-10-28T02:38:51.366903,2023-10-28T02:38:51.367584,2023-10-28T02:38:51.370330,2023-10-28T02:40:09.358524,77991.621
33,2023-10-28T02:38:51.371842,2023-10-28T02:38:51.369088,2023-10-28T02:40:09.359743,2023-10-28T02:41:27.671749,156299.90699999998
35,2023-10-28T02:38:51.373572,2023-10-28T02:38:51.374561,2023-10-28T02:41:27.672945,2023-10-28T02:42:44.843373,233469.80099999998
32,2023-10-28T02:38:51.376955,2023-10-28T02:38:51.377982,2023-10-28T02:42:44.844933,2023-10-28T02:44:02.135120,310758.16500000004
34,2023-10-28T02:38:51.381443,2023-10-28T02:38:51.382023,2023-10-28T02:44:02.136444,2023-10-28T02:45:17.681656,386300.213
37,2023-10-28T02:38:52.177072,2023-10-28T02:40:09.361058,2023-10-28T02:45:17.682912,2023-10-28T02:46:33.926336,461749.26399999997
40,2023-10-28T02:38:52.180957,2023-10-28T02:41:27.675258,2023-10-28T02:46:33.927570,2023-10-28T02:47:49.665153,537484.196
38,2023-10-28T02:38:52.182952,2023-10-28T02:42:44.845886,2023-10-28T02:47:49.665719,2023-10-28T02:49:05.527405,613344.4530000001
36,2023-10-28T02:38:52.184284,2023-10-28T02:44:02.137307,2023-10-28T02:49:05.527986,2023-10-28T02:50:22.764105,690579.821
39,2023-10-28T02:38:52.191905,2023-10-28T02:45:17.684299,2023-10-28T02:50:22.764758,2023-10-28T02:51:39.845030,767653.125
