id_video,sent,finished,time_request
31,2023-12-01T15:57:26.739Z,2023-12-01T16:00:36.012965Z,189273.965
32,2023-12-01T15:57:26.785Z,2023-12-01T16:00:38.488074Z,191703.074
33,2023-12-01T15:57:26.77Z,2023-12-01T16:00:38.188501Z,191418.501
37,2023-12-01T15:57:27.587Z,2023-12-01T16:03:39.386885Z,371799.885
39,2023-12-01T15:57:27.705Z,2023-12-01T16:03:42.003492Z,374298.492
40,2023-12-01T15:57:27.771Z,2023-12-01T16:03:42.469851Z,374698.85099999997
35,2023-12-01T15:57:27.091Z,2023-12-01T16:06:38.567764Z,551476.764
38,2023-12-01T15:57:27.561Z,2023-12-01T16:06:38.720365Z,551159.365
34,2023-12-01T15:57:26.785Z,2023-12-01T16:06:50.302305Z,563517.3049999999
36,2023-12-01T15:57:27.76Z,2023-12-01T16:09:18.868891Z,711108.891
