id_video,sent,finished,time_request
132,2023-12-01T18:41:33.079Z,2023-12-01T18:44:28.512375Z,175433.375
135,2023-12-01T18:41:33.182Z,2023-12-01T18:44:29.660578Z,176478.578
131,2023-12-01T18:41:33.1Z,2023-12-01T18:44:30.186143Z,177086.14299999998
136,2023-12-01T18:41:33.127Z,2023-12-01T18:47:26.540098Z,353413.098
138,2023-12-01T18:41:33.809Z,2023-12-01T18:47:31.174493Z,357365.493
133,2023-12-01T18:41:33.182Z,2023-12-01T18:47:34.986948Z,361804.94800000003
154,2023-12-01T18:41:35.243Z,2023-12-01T18:50:31.037555Z,535794.5549999999
134,2023-12-01T18:41:33.33Z,2023-12-01T18:50:39.856360Z,546526.36
164,2023-12-01T18:41:36.232Z,2023-12-01T18:50:50.099795Z,553867.795
160,2023-12-01T18:41:35.778Z,2023-12-01T18:53:23.343712Z,707565.7119999999
140,2023-12-01T18:41:33.884Z,2023-12-01T18:53:42.928963Z,729044.9630000001
142,2023-12-01T18:41:33.83Z,2023-12-01T18:53:49.955184Z,736125.184
143,2023-12-01T18:41:33.999Z,2023-12-01T18:56:21.637346Z,887638.3459999999
145,2023-12-01T18:41:34.218Z,2023-12-01T18:56:43.751233Z,909533.233
153,2023-12-01T18:41:35.238Z,2023-12-01T18:56:59.245624Z,924007.624
152,2023-12-01T18:41:35.402Z,2023-12-01T18:59:23.880178Z,1068478.178
137,2023-12-01T18:41:33.6Z,2023-12-01T18:59:44.129176Z,1090529.176
151,2023-12-01T18:41:35.238Z,2023-12-01T18:59:56.214671Z,1100976.6709999999
148,2023-12-01T18:41:34.39Z,2023-12-01T19:02:37.253261Z,1262863.261
157,2023-12-01T18:41:35.732Z,2023-12-01T19:02:42.214232Z,1266482.232
169,2023-12-01T18:41:36.963Z,2023-12-01T19:02:56.807924Z,1279844.9239999999
158,2023-12-01T18:41:35.8Z,2023-12-01T19:05:42.694529Z,1446894.5289999999
146,2023-12-01T18:41:34.35Z,2023-12-01T19:05:47.862621Z,1453512.621
147,2023-12-01T18:41:34.285Z,2023-12-01T19:06:02.259018Z,1467974.018
161,2023-12-01T18:41:35.853Z,2023-12-01T19:08:42.059236Z,1626206.236
139,2023-12-01T18:41:33.74Z,2023-12-01T19:08:58.350565Z,1644610.565
159,2023-12-01T18:41:35.84Z,2023-12-01T19:08:57.133916Z,1641293.916
155,2023-12-01T18:41:35.238Z,2023-12-01T19:11:48.656119Z,1813418.119
162,2023-12-01T18:41:35.903Z,2023-12-01T19:12:26.923057Z,1851020.057
141,2023-12-01T18:41:33.757Z,2023-12-01T19:12:28.500758Z,1854743.7580000001
150,2023-12-01T18:41:34.645Z,2023-12-01T19:14:51.325376Z,1996680.376
149,2023-12-01T18:41:34.439Z,2023-12-01T19:15:18.000978Z,2023561.978
165,2023-12-01T18:41:36.291Z,2023-12-01T19:15:20.819611Z,2024528.611
144,2023-12-01T18:41:34.218Z,2023-12-01T19:17:52.382289Z,2178164.289
163,2023-12-01T18:41:36.671Z,2023-12-01T19:18:10.015006Z,2193344.0059999996
166,2023-12-01T18:41:36.328Z,2023-12-01T19:18:17.708570Z,2201380.57
168,2023-12-01T18:41:36.717Z,2023-12-01T19:20:46.703940Z,2349986.94
170,2023-12-01T18:41:36.642Z,2023-12-01T19:21:00.518868Z,2363876.868
167,2023-12-01T18:41:36.305Z,2023-12-01T19:21:07.349465Z,2371044.465
156,2023-12-01T18:41:35.331Z,2023-12-01T19:23:37.236384Z,2521905.384
