id_video,sent,finished,time_request
95,2023-11-18T19:13:57.609445,2023-11-18T19:15:14.809467,77200.022
93,2023-11-18T19:13:57.621457,2023-11-18T19:16:32.488439,154866.98200000002
88,2023-11-18T19:13:57.251153,2023-11-18T19:17:50.231012,232979.859
97,2023-11-18T19:13:57.970661,2023-11-18T19:18:03.757758,245787.09699999998
89,2023-11-18T19:13:57.863113,2023-11-18T19:19:05.627391,307764.278
104,2023-11-18T19:13:58.716267,2023-11-18T19:19:21.490311,322774.044
98,2023-11-18T19:13:58.056527,2023-11-18T19:20:24.302098,386245.571
85,2023-11-18T19:13:56.193950,2023-11-18T19:20:38.062900,401868.95
99,2023-11-18T19:13:58.027284,2023-11-18T19:21:27.417361,449390.07700000005
92,2023-11-18T19:13:57.689055,2023-11-18T19:21:40.983073,463294.018
90,2023-11-18T19:13:57.734803,2023-11-18T19:21:55.167423,477432.62
86,2023-11-18T19:13:56.228962,2023-11-18T19:22:45.403576,529174.6140000001
83,2023-11-18T19:13:56.230505,2023-11-18T19:22:58.314691,542084.186
81,2023-11-18T19:13:56.232593,2023-11-18T19:23:11.947049,555714.456
82,2023-11-18T19:13:56.234201,2023-11-18T19:24:02.462998,606228.797
84,2023-11-18T19:13:56.236371,2023-11-18T19:24:14.195108,617958.7370000001
91,2023-11-18T19:13:57.265657,2023-11-18T19:24:28.195722,630930.0650000001
102,2023-11-18T19:13:58.613384,2023-11-18T19:25:19.356767,680743.383
96,2023-11-18T19:13:57.997264,2023-11-18T19:25:30.333924,692336.66
105,2023-11-18T19:13:58.621637,2023-11-18T19:25:44.958019,706336.382
107,2023-11-18T19:13:58.940455,2023-11-18T19:26:37.002267,758061.812
87,2023-11-18T19:13:57.271123,2023-11-18T19:26:46.129427,768858.304
94,2023-11-18T19:13:57.614130,2023-11-18T19:27:02.086586,784472.456
116,2023-11-18T19:13:59.558392,2023-11-18T19:27:54.701542,835143.15
100,2023-11-18T19:13:58.118939,2023-11-18T19:28:02.108268,843989.329
103,2023-11-18T19:13:58.637595,2023-11-18T19:28:18.670531,860032.936
112,2023-11-18T19:13:59.250590,2023-11-18T19:29:11.461035,912210.4450000001
113,2023-11-18T19:13:59.256308,2023-11-18T19:29:18.722156,919465.848
114,2023-11-18T19:13:59.472376,2023-11-18T19:29:34.399234,934926.858
119,2023-11-18T19:13:59.694970,2023-11-18T19:30:28.558844,988863.874
106,2023-11-18T19:13:58.718774,2023-11-18T19:30:35.653560,996934.7860000001
101,2023-11-18T19:13:58.917799,2023-11-18T19:30:48.713159,1009795.36
109,2023-11-18T19:13:59.000413,2023-11-18T19:31:44.861526,1065861.113
108,2023-11-18T19:13:59.028276,2023-11-18T19:31:52.162259,1073133.983
110,2023-11-18T19:13:59.099810,2023-11-18T19:32:04.585082,1085485.2719999999
115,2023-11-18T19:13:59.385835,2023-11-18T19:33:00.942420,1141556.585
111,2023-11-18T19:13:59.118168,2023-11-18T19:33:08.145701,1149027.533
117,2023-11-18T19:13:59.656472,2023-11-18T19:33:21.689289,1162032.817
120,2023-11-18T19:13:59.823515,2023-11-18T19:34:15.580600,1215757.085
118,2023-11-18T19:13:59.730272,2023-11-18T19:34:23.992947,1224262.675
