id_video,sent,finished,time_request
440,2023-11-18T04:18:38.161922,2023-11-18T04:19:57.659243,79497.321
445,2023-11-18T04:18:38.892835,2023-11-18T04:21:14.466005,155573.17
444,2023-11-18T04:18:38.346830,2023-11-18T04:22:33.097789,234750.959
441,2023-11-18T04:18:38.164711,2023-11-18T04:22:51.334807,253170.096
446,2023-11-18T04:18:38.845766,2023-11-18T04:23:50.688845,311843.07899999997
443,2023-11-18T04:18:38.203732,2023-11-18T04:24:09.537028,331333.29600000003
442,2023-11-18T04:18:38.362089,2023-11-18T04:25:08.300620,389938.531
448,2023-11-18T04:18:38.808676,2023-11-18T04:25:26.520631,407711.955
447,2023-11-18T04:18:38.830133,2023-11-18T04:26:11.925277,453095.14400000003
449,2023-11-18T04:18:38.840368,2023-11-18T04:26:25.289408,466449.04000000004
