id_video,sent,received,started,succeeded,time_request
32,2023-11-09T00:54:50.601076,2023-11-09T00:54:50.601562,2023-11-09T00:54:50.603120,2023-11-09T00:56:03.912851,73311.775
31,2023-11-09T00:54:50.603942,2023-11-09T00:54:50.602650,2023-11-09T00:56:03.913842,2023-11-09T00:57:18.477185,147873.24300000002
35,2023-11-09T00:54:50.605407,2023-11-09T00:54:50.605646,2023-11-09T00:57:18.496747,2023-11-09T00:58:33.197445,222592.038
33,2023-11-09T00:54:50.655037,2023-11-09T00:54:50.655585,2023-11-09T00:58:33.198666,2023-11-09T00:59:46.748679,296093.642
34,2023-11-09T00:54:50.681779,2023-11-09T00:54:50.683271,2023-11-09T00:59:46.749729,2023-11-09T01:01:00.272526,369590.74700000003
36,2023-11-09T00:54:51.069939,2023-11-09T00:56:03.915141,2023-11-09T01:01:00.273337,2023-11-09T01:02:13.301434,442231.495
37,2023-11-09T00:54:51.173420,2023-11-09T00:57:18.497178,2023-11-09T01:02:13.302170,2023-11-09T01:03:28.132296,516958.87600000005
40,2023-11-09T00:54:51.178805,2023-11-09T00:58:33.199370,2023-11-09T01:03:28.133442,2023-11-09T01:04:43.150741,591971.936
39,2023-11-09T00:54:51.204123,2023-11-09T00:59:46.750597,2023-11-09T01:04:43.152115,2023-11-09T01:05:58.104312,666900.189
38,2023-11-09T00:54:51.290518,2023-11-09T01:01:00.274613,2023-11-09T01:05:58.106324,2023-11-09T01:07:14.464259,743173.7409999999
