id_video,sent,finished,time_request
216,2023-12-01T20:27:07.698Z,2023-12-01T20:30:14.499092Z,186801.092
220,2023-12-01T20:27:08.393Z,2023-12-01T20:30:30.238935Z,201845.935
222,2023-12-01T20:27:08.36Z,2023-12-01T20:30:31.002644Z,202642.644
213,2023-12-01T20:27:07.698Z,2023-12-01T20:33:14.329072Z,366631.07200000004
212,2023-12-01T20:27:07.697Z,2023-12-01T20:33:45.370207Z,397673.207
214,2023-12-01T20:27:07.696Z,2023-12-01T20:33:45.516099Z,397820.09900000005
219,2023-12-01T20:27:08.393Z,2023-12-01T20:36:11.864836Z,543471.836
224,2023-12-01T20:27:08.835Z,2023-12-01T20:37:02.395233Z,593560.233
225,2023-12-01T20:27:08.835Z,2023-12-01T20:37:02.961527Z,594126.527
215,2023-12-01T20:27:07.727Z,2023-12-01T20:39:23.808698Z,736081.698
250,2023-12-01T20:27:11.151Z,2023-12-01T20:40:26.541076Z,795390.076
238,2023-12-01T20:27:10.355Z,2023-12-01T20:40:28.631484Z,798276.4839999999
233,2023-12-01T20:27:09.812Z,2023-12-01T20:42:39.689110Z,929877.11
223,2023-12-01T20:27:08.671Z,2023-12-01T20:43:46.128946Z,997457.946
227,2023-12-01T20:27:08.882Z,2023-12-01T20:43:51.663181Z,1002781.181
240,2023-12-01T20:27:10.452Z,2023-12-01T20:45:54.838971Z,1124386.971
232,2023-12-01T20:27:09.761Z,2023-12-01T20:47:01.570376Z,1191809.376
235,2023-12-01T20:27:09.812Z,2023-12-01T20:47:14.629833Z,1204817.833
229,2023-12-01T20:27:09.097Z,2023-12-01T20:49:08.376953Z,1319279.953
241,2023-12-01T20:27:10.432Z,2023-12-01T20:50:33.384550Z,1402952.55
239,2023-12-01T20:27:10.329Z,2023-12-01T20:50:46.787759Z,1416458.759
217,2023-12-01T20:27:08.29Z,2023-12-01T20:52:41.356936Z,1533066.936
234,2023-12-01T20:27:09.834Z,2023-12-01T20:54:04.242546Z,1614408.5459999999
243,2023-12-01T20:27:10.575Z,2023-12-01T20:54:13.443318Z,1622868.318
221,2023-12-01T20:27:08.647Z,2023-12-01T20:55:59.403457Z,1730756.457
211,2023-12-01T20:27:07.703Z,2023-12-01T20:57:38.107312Z,1830404.312
230,2023-12-01T20:27:09.234Z,2023-12-01T20:57:41.332568Z,1832098.568
231,2023-12-01T20:27:09.812Z,2023-12-01T20:59:20.062912Z,1930250.912
228,2023-12-01T20:27:09.168Z,2023-12-01T21:01:01.464790Z,2032296.79
247,2023-12-01T20:27:10.97Z,2023-12-01T21:01:08.784464Z,2037814.4640000002
246,2023-12-01T20:27:12.089Z,2023-12-01T21:02:29.748693Z,2117659.693
242,2023-12-01T20:27:10.432Z,2023-12-01T21:04:16.830215Z,2226398.2150000003
237,2023-12-01T20:27:10.15Z,2023-12-01T21:04:23.280885Z,2233130.8850000002
244,2023-12-01T20:27:10.774Z,2023-12-01T21:05:42.461473Z,2311687.4729999998
248,2023-12-01T20:27:10.887Z,2023-12-01T21:07:43.306718Z,2432419.718
218,2023-12-01T20:27:08.42Z,2023-12-01T21:07:49.666230Z,2441246.23
245,2023-12-01T20:27:10.81Z,2023-12-01T21:08:59.876825Z,2509066.8249999997
226,2023-12-01T20:27:08.971Z,2023-12-01T21:11:03.542172Z,2634571.172
236,2023-12-01T20:27:09.834Z,2023-12-01T21:11:07.677872Z,2637843.872
249,2023-12-01T20:27:11.037Z,2023-12-01T21:12:16.969993Z,2705932.993
