id_video,sent,received,started,succeeded,time_request
82,2023-11-09T16:44:48.405561,2023-11-09T16:44:48.406190,2023-11-09T16:44:48.406856,2023-11-09T16:46:08.472071,80066.51
81,2023-11-09T16:44:48.410838,2023-11-09T16:44:48.407769,2023-11-09T16:46:08.473577,2023-11-09T16:47:28.515369,160104.53100000002
84,2023-11-09T16:44:48.409193,2023-11-09T16:44:48.408880,2023-11-09T16:47:28.516022,2023-11-09T16:48:46.037868,237628.675
86,2023-11-09T16:44:48.412230,2023-11-09T16:44:48.409588,2023-11-09T16:48:46.038711,2023-11-09T16:50:04.266158,315853.928
85,2023-11-09T16:44:48.415645,2023-11-09T16:44:48.414367,2023-11-09T16:50:04.266698,2023-11-09T16:51:21.543602,393127.957
83,2023-11-09T16:44:48.483210,2023-11-09T16:46:08.475421,2023-11-09T16:51:21.544244,2023-11-09T16:52:40.326685,471843.47500000003
88,2023-11-09T16:44:48.856229,2023-11-09T16:47:28.517680,2023-11-09T16:52:40.328106,2023-11-09T16:53:58.129107,549272.878
87,2023-11-09T16:44:48.890042,2023-11-09T16:48:46.040429,2023-11-09T16:53:58.130240,2023-11-09T16:55:16.117860,627227.818
91,2023-11-09T16:44:48.909835,2023-11-09T16:50:04.268971,2023-11-09T16:55:16.119202,2023-11-09T16:56:36.433819,707523.984
90,2023-11-09T16:44:48.939726,2023-11-09T16:51:21.547085,2023-11-09T16:56:36.435088,2023-11-09T16:57:55.617015,786677.289
92,2023-11-09T16:44:48.985074,2023-11-09T16:52:40.329263,2023-11-09T16:57:55.618617,2023-11-09T16:59:13.159402,864174.328
89,2023-11-09T16:44:49.070027,2023-11-09T16:53:58.131038,2023-11-09T16:59:13.159893,2023-11-09T17:00:25.921051,936851.0240000001
95,2023-11-09T16:44:49.283558,2023-11-09T16:55:16.120461,2023-11-09T17:00:25.921852,2023-11-09T17:01:40.716191,1011432.633
94,2023-11-09T16:44:49.299948,2023-11-09T16:56:36.436986,2023-11-09T17:01:40.717100,2023-11-09T17:02:56.329625,1087029.677
97,2023-11-09T16:44:49.362035,2023-11-09T16:57:55.619940,2023-11-09T17:02:56.330469,2023-11-09T17:04:10.389162,1161027.127
96,2023-11-09T16:44:49.380740,2023-11-09T16:59:13.161749,2023-11-09T17:04:10.389771,2023-11-09T17:05:25.212376,1235831.636
93,2023-11-09T16:44:49.382048,2023-11-09T17:00:25.922924,2023-11-09T17:05:25.213288,2023-11-09T17:06:40.279896,1310897.848
98,2023-11-09T16:44:49.425667,2023-11-09T17:01:40.718422,2023-11-09T17:06:40.280500,2023-11-09T17:07:55.525629,1386099.962
99,2023-11-09T16:44:49.602934,2023-11-09T17:02:56.331799,2023-11-09T17:07:55.526673,2023-11-09T17:09:11.152705,1461549.771
100,2023-11-09T16:44:49.616163,2023-11-09T17:04:10.391082,2023-11-09T17:09:11.154330,2023-11-09T17:10:26.396592,1536780.429
105,2023-11-09T16:44:50.101431,2023-11-09T17:05:25.214914,2023-11-09T17:10:26.398176,2023-11-09T17:11:43.258743,1613157.3120000002
101,2023-11-09T16:44:50.114842,2023-11-09T17:06:40.281834,2023-11-09T17:11:43.259272,2023-11-09T17:13:00.526089,1690411.247
103,2023-11-09T16:44:50.125785,2023-11-09T17:07:55.527905,2023-11-09T17:13:00.526982,2023-11-09T17:14:16.308974,1766183.189
106,2023-11-09T16:44:50.148887,2023-11-09T17:09:11.155048,2023-11-09T17:14:16.309476,2023-11-09T17:15:32.454398,1842305.511
104,2023-11-09T16:44:50.179661,2023-11-09T17:10:26.399236,2023-11-09T17:15:32.454898,2023-11-09T17:16:46.818740,1916639.0790000001
102,2023-11-09T16:44:50.283474,2023-11-09T17:11:43.261209,2023-11-09T17:16:46.819253,2023-11-09T17:18:02.488977,1992205.5029999998
108,2023-11-09T16:44:50.491742,2023-11-09T17:13:00.528590,2023-11-09T17:18:02.490235,2023-11-09T17:19:17.371509,2066879.767
109,2023-11-09T16:44:50.526654,2023-11-09T17:14:16.311451,2023-11-09T17:19:17.372592,2023-11-09T17:20:32.573892,2142047.238
107,2023-11-09T16:44:50.542716,2023-11-09T17:15:32.456286,2023-11-09T17:20:32.575151,2023-11-09T17:21:47.273870,2216731.154
112,2023-11-09T16:44:50.617423,2023-11-09T17:16:46.820924,2023-11-09T17:21:47.275740,2023-11-09T17:23:01.242422,2290624.9990000003
110,2023-11-09T16:44:50.639393,2023-11-09T17:18:02.491444,2023-11-09T17:23:01.243077,2023-11-09T17:24:14.906672,2364267.279
111,2023-11-09T16:44:50.636376,2023-11-09T17:19:17.373660,2023-11-09T17:24:14.907385,2023-11-09T17:25:28.585289,2437948.913
113,2023-11-09T16:44:50.819954,2023-11-09T17:20:32.576097,2023-11-09T17:25:28.586093,2023-11-09T17:26:41.908505,2511088.551
115,2023-11-09T16:44:50.896856,2023-11-09T17:21:47.276670,2023-11-09T17:26:41.908974,2023-11-09T17:27:57.801844,2586904.988
116,2023-11-09T16:44:50.979568,2023-11-09T17:23:01.244173,2023-11-09T17:27:57.802462,2023-11-09T17:29:13.558604,2662579.0360000003
114,2023-11-09T16:44:51.005815,2023-11-09T17:24:14.908314,2023-11-09T17:29:13.559210,2023-11-09T17:30:28.857025,2737851.21
117,2023-11-09T16:44:51.111976,2023-11-09T17:25:28.587490,2023-11-09T17:30:28.858286,2023-11-09T17:31:45.091993,2813980.017
118,2023-11-09T16:44:51.134937,2023-11-09T17:26:41.910419,2023-11-09T17:31:45.092613,2023-11-09T17:33:00.090645,2888955.708
120,2023-11-09T16:44:51.180554,2023-11-09T17:27:57.804223,2023-11-09T17:33:00.092341,2023-11-09T17:34:14.029247,2962848.693
119,2023-11-09T16:44:51.553348,2023-11-09T17:29:13.560681,2023-11-09T17:34:14.029887,2023-11-09T17:35:28.154793,3036601.445
