id_video,sent,received,started,succeeded,time_request
66,2023-10-28T02:39:35.109821,2023-10-28T02:39:35.110316,2023-10-28T02:39:35.112470,2023-10-28T02:40:52.195550,77085.729
63,2023-10-28T02:39:35.116982,2023-10-28T02:39:35.111479,2023-10-28T02:40:52.197006,2023-10-28T02:42:07.189098,152072.11599999998
65,2023-10-28T02:39:35.113915,2023-10-28T02:39:35.113605,2023-10-28T02:42:07.191087,2023-10-28T02:43:22.210302,227096.387
62,2023-10-28T02:39:35.122689,2023-10-28T02:39:35.122303,2023-10-28T02:43:22.211293,2023-10-28T02:44:38.007719,302885.02999999997
61,2023-10-28T02:39:35.126029,2023-10-28T02:39:35.126541,2023-10-28T02:44:38.008901,2023-10-28T02:45:53.381727,378255.698
64,2023-10-28T02:39:35.131002,2023-10-28T02:40:52.198376,2023-10-28T02:45:53.383483,2023-10-28T02:47:07.839257,452708.255
68,2023-10-28T02:39:35.835497,2023-10-28T02:42:07.191766,2023-10-28T02:47:07.841475,2023-10-28T02:48:22.848640,527013.143
70,2023-10-28T02:39:35.838714,2023-10-28T02:43:22.212645,2023-10-28T02:48:22.849176,2023-10-28T02:49:37.519338,601680.624
67,2023-10-28T02:39:35.841720,2023-10-28T02:44:38.010077,2023-10-28T02:49:37.520526,2023-10-28T02:50:53.295796,677454.076
69,2023-10-28T02:39:35.845999,2023-10-28T02:45:53.384565,2023-10-28T02:50:53.296527,2023-10-28T02:52:07.308184,751462.1849999999
73,2023-10-28T02:39:36.639449,2023-10-28T02:47:07.841866,2023-10-28T02:52:07.308758,2023-10-28T02:53:21.143974,824504.5249999999
72,2023-10-28T02:39:36.685212,2023-10-28T02:48:22.850499,2023-10-28T02:53:21.144932,2023-10-28T02:54:34.608871,897923.659
71,2023-10-28T02:39:36.676922,2023-10-28T02:49:37.521199,2023-10-28T02:54:34.610107,2023-10-28T02:55:48.032435,971355.5129999999
75,2023-10-28T02:39:36.678683,2023-10-28T02:50:53.298945,2023-10-28T02:55:48.033379,2023-10-28T02:57:01.258313,1044579.63
74,2023-10-28T02:39:36.681466,2023-10-28T02:52:07.310060,2023-10-28T02:57:01.258878,2023-10-28T02:58:14.956643,1118275.177
76,2023-10-28T02:39:36.726579,2023-10-28T02:53:21.145464,2023-10-28T02:58:14.957362,2023-10-28T02:59:27.882548,1191155.9689999998
78,2023-10-28T02:39:37.157704,2023-10-28T02:54:34.610678,2023-10-28T02:59:27.883951,2023-10-28T03:00:41.601760,1264444.056
79,2023-10-28T02:39:37.206582,2023-10-28T02:55:48.034451,2023-10-28T03:00:41.602512,2023-10-28T03:01:58.121226,1340914.6439999999
77,2023-10-28T02:39:37.207608,2023-10-28T02:57:01.260338,2023-10-28T03:01:58.122080,2023-10-28T03:03:14.914951,1417707.343
80,2023-10-28T02:39:37.209927,2023-10-28T02:58:14.958839,2023-10-28T03:03:14.915991,2023-10-28T03:04:31.961808,1494751.8809999998
