id_video,sent,received,started,succeeded,time_request
42,2023-11-09T15:02:29.788758,2023-11-09T15:02:29.787128,2023-11-09T15:02:29.788522,2023-11-09T15:03:44.105031,74316.273
41,2023-11-09T15:02:29.786631,2023-11-09T15:02:29.788201,2023-11-09T15:03:44.106554,2023-11-09T15:04:58.802168,149015.53699999998
43,2023-11-09T15:02:29.833360,2023-11-09T15:02:29.831292,2023-11-09T15:04:58.802738,2023-11-09T15:06:13.249066,223415.706
44,2023-11-09T15:02:29.905680,2023-11-09T15:02:29.905209,2023-11-09T15:06:13.251049,2023-11-09T15:07:28.064562,298158.882
46,2023-11-09T15:02:29.911763,2023-11-09T15:02:29.906379,2023-11-09T15:07:28.065342,2023-11-09T15:08:44.880600,374968.837
45,2023-11-09T15:02:30.016286,2023-11-09T15:03:44.107936,2023-11-09T15:08:44.881199,2023-11-09T15:10:00.934663,450918.37700000004
48,2023-11-09T15:02:30.143285,2023-11-09T15:04:58.804760,2023-11-09T15:10:00.935169,2023-11-09T15:11:17.205032,527061.747
49,2023-11-09T15:02:30.206241,2023-11-09T15:06:13.251273,2023-11-09T15:11:17.206711,2023-11-09T15:12:32.427978,602221.737
50,2023-11-09T15:02:30.294090,2023-11-09T15:07:28.066907,2023-11-09T15:12:32.429502,2023-11-09T15:13:47.816572,677522.482
47,2023-11-09T15:02:30.316218,2023-11-09T15:08:44.883157,2023-11-09T15:13:47.817916,2023-11-09T15:15:02.045030,751728.8119999999
51,2023-11-09T15:02:30.389983,2023-11-09T15:10:00.937094,2023-11-09T15:15:02.045808,2023-11-09T15:16:16.804508,826414.525
52,2023-11-09T15:02:30.411684,2023-11-09T15:11:17.207506,2023-11-09T15:16:16.805934,2023-11-09T15:17:34.318458,903906.7740000001
56,2023-11-09T15:02:30.653391,2023-11-09T15:12:32.430269,2023-11-09T15:17:34.319258,2023-11-09T15:18:51.263287,980609.8960000001
55,2023-11-09T15:02:30.655998,2023-11-09T15:13:47.819172,2023-11-09T15:18:51.263883,2023-11-09T15:20:07.311777,1056655.7789999999
53,2023-11-09T15:02:30.960477,2023-11-09T15:15:02.047734,2023-11-09T15:20:07.312536,2023-11-09T15:21:23.239203,1132278.726
58,2023-11-09T15:02:30.995114,2023-11-09T15:16:16.807178,2023-11-09T15:21:23.239707,2023-11-09T15:22:37.986846,1206991.7319999998
60,2023-11-09T15:02:31.058857,2023-11-09T15:17:34.321036,2023-11-09T15:22:37.987356,2023-11-09T15:23:51.736813,1280677.956
57,2023-11-09T15:02:31.061526,2023-11-09T15:18:51.265893,2023-11-09T15:23:51.737606,2023-11-09T15:25:05.055732,1353994.206
59,2023-11-09T15:02:31.191784,2023-11-09T15:20:07.313877,2023-11-09T15:25:05.056369,2023-11-09T15:26:19.165346,1427973.562
54,2023-11-09T15:02:31.419449,2023-11-09T15:21:23.242378,2023-11-09T15:26:19.166292,2023-11-09T15:27:33.236791,1501817.342
65,2023-11-09T15:02:31.922708,2023-11-09T15:22:37.989990,2023-11-09T15:27:33.237600,2023-11-09T15:28:46.667700,1574744.9919999999
62,2023-11-09T15:02:31.956215,2023-11-09T15:23:51.738519,2023-11-09T15:28:46.668749,2023-11-09T15:30:01.443987,1649487.7719999999
66,2023-11-09T15:02:31.968125,2023-11-09T15:25:05.057648,2023-11-09T15:30:01.444516,2023-11-09T15:31:15.746177,1723778.052
61,2023-11-09T15:02:32.031657,2023-11-09T15:26:19.167351,2023-11-09T15:31:15.746689,2023-11-09T15:32:30.077069,1798045.412
63,2023-11-09T15:02:32.115754,2023-11-09T15:27:33.238807,2023-11-09T15:32:30.077586,2023-11-09T15:33:43.437970,1871322.216
67,2023-11-09T15:02:32.257910,2023-11-09T15:28:46.669822,2023-11-09T15:33:43.438768,2023-11-09T15:34:56.953295,1944695.385
64,2023-11-09T15:02:32.356530,2023-11-09T15:30:01.445915,2023-11-09T15:34:56.954215,2023-11-09T15:36:10.443644,2018087.1139999998
68,2023-11-09T15:02:32.380930,2023-11-09T15:31:15.747861,2023-11-09T15:36:10.444988,2023-11-09T15:37:23.745688,2091364.7580000001
71,2023-11-09T15:02:32.503982,2023-11-09T15:32:30.079591,2023-11-09T15:37:23.746647,2023-11-09T15:38:37.071828,2164567.846
69,2023-11-09T15:02:32.507252,2023-11-09T15:33:43.440244,2023-11-09T15:38:37.072837,2023-11-09T15:39:52.220314,2239713.062
70,2023-11-09T15:02:32.513520,2023-11-09T15:34:56.955884,2023-11-09T15:39:52.221430,2023-11-09T15:41:06.713181,2314199.6610000003
72,2023-11-09T15:02:32.564143,2023-11-09T15:36:10.445917,2023-11-09T15:41:06.714307,2023-11-09T15:42:22.334473,2389770.3299999996
73,2023-11-09T15:02:32.710013,2023-11-09T15:37:23.748490,2023-11-09T15:42:22.335037,2023-11-09T15:43:37.425100,2464715.087
74,2023-11-09T15:02:32.726829,2023-11-09T15:38:37.074045,2023-11-09T15:43:37.426067,2023-11-09T15:44:52.552020,2539825.191
77,2023-11-09T15:02:32.963311,2023-11-09T15:39:52.222199,2023-11-09T15:44:52.552672,2023-11-09T15:46:09.559225,2616595.914
75,2023-11-09T15:02:32.975720,2023-11-09T15:41:06.715303,2023-11-09T15:46:09.559812,2023-11-09T15:47:26.923989,2693948.269
78,2023-11-09T15:02:32.988036,2023-11-09T15:42:22.336806,2023-11-09T15:47:26.924487,2023-11-09T15:48:42.209026,2769220.9899999998
80,2023-11-09T15:02:33.081316,2023-11-09T15:43:37.426954,2023-11-09T15:48:42.209786,2023-11-09T15:49:58.409872,2845328.556
76,2023-11-09T15:02:33.251842,2023-11-09T15:44:52.554147,2023-11-09T15:49:58.410727,2023-11-09T15:51:14.602997,2921351.155
79,2023-11-09T15:02:33.340971,2023-11-09T15:46:09.561782,2023-11-09T15:51:14.603481,2023-11-09T15:52:30.030559,2996689.588
