id_video,sent,finished,time_request
6,2023-12-02T01:00:45.617Z,2023-12-02T01:03:21.245142Z,155628.142
2,2023-12-02T01:00:45.786Z,2023-12-02T01:03:26.727755Z,160941.755
5,2023-12-02T01:00:45.617Z,2023-12-02T01:03:54.758237Z,189141.237
10,2023-12-02T01:00:46.357Z,2023-12-02T01:05:54.998616Z,308641.616
4,2023-12-02T01:00:45.64Z,2023-12-02T01:06:01.737976Z,316097.976
12,2023-12-02T01:00:47.762Z,2023-12-02T01:06:48.419199Z,360657.19899999996
8,2023-12-02T01:00:47.173Z,2023-12-02T01:08:31.208430Z,464035.43
9,2023-12-02T01:00:46.559Z,2023-12-02T01:08:40.752003Z,474193.00299999997
13,2023-12-02T01:00:47.805Z,2023-12-02T01:09:48.785610Z,540980.61
17,2023-12-02T01:00:48.019Z,2023-12-02T01:11:21.580447Z,633561.447
7,2023-12-02T01:00:46.01Z,2023-12-02T01:11:23.086633Z,637076.633
19,2023-12-02T01:00:48.153Z,2023-12-02T01:12:57.028143Z,728875.1429999999
11,2023-12-02T01:00:47.78Z,2023-12-02T01:13:57.793964Z,790013.964
3,2023-12-02T01:00:45.617Z,2023-12-02T01:13:59.917042Z,794300.042
18,2023-12-02T01:00:48.394Z,2023-12-02T01:15:50.085977Z,901691.977
15,2023-12-02T01:00:47.758Z,2023-12-02T01:16:31.251302Z,943493.302
20,2023-12-02T01:00:48.202Z,2023-12-02T01:16:33.077044Z,944875.044
14,2023-12-02T01:00:47.678Z,2023-12-02T01:18:44.715819Z,1077037.819
1,2023-12-02T01:00:45.917Z,2023-12-02T01:19:04.703976Z,1098786.976
16,2023-12-02T01:00:47.758Z,2023-12-02T01:19:07.746502Z,1099988.5019999999
