id_video,sent,finished,time_request
142,2023-11-18T00:01:29.841864,2023-11-18T00:02:50.864959,81023.095
157,2023-11-18T00:01:31.644007,2023-11-18T00:04:10.158220,158514.21300000002
140,2023-11-18T00:01:29.765451,2023-11-18T00:05:26.600468,236835.017
141,2023-11-18T00:01:29.930225,2023-11-18T00:05:59.506208,269575.983
147,2023-11-18T00:01:30.376883,2023-11-18T00:06:42.662138,312285.255
144,2023-11-18T00:01:29.857192,2023-11-18T00:07:18.410070,348552.878
145,2023-11-18T00:01:29.858361,2023-11-18T00:07:58.899948,389041.587
143,2023-11-18T00:01:29.864359,2023-11-18T00:08:35.462613,425598.254
156,2023-11-18T00:01:31.684429,2023-11-18T00:09:16.448844,464764.415
149,2023-11-18T00:01:30.303445,2023-11-18T00:09:52.122397,501818.95200000005
148,2023-11-18T00:01:30.341675,2023-11-18T00:10:03.762795,513421.12
146,2023-11-18T00:01:30.794414,2023-11-18T00:10:34.905309,544110.895
154,2023-11-18T00:01:31.216332,2023-11-18T00:11:09.192629,577976.297
150,2023-11-18T00:01:31.237739,2023-11-18T00:11:20.166110,588928.3709999999
152,2023-11-18T00:01:31.300328,2023-11-18T00:11:54.246350,622946.022
155,2023-11-18T00:01:31.238897,2023-11-18T00:12:26.370997,655132.1000000001
153,2023-11-18T00:01:31.281618,2023-11-18T00:12:38.930385,667648.767
151,2023-11-18T00:01:31.285604,2023-11-18T00:13:12.221316,700935.7119999999
159,2023-11-18T00:01:31.841304,2023-11-18T00:13:43.451596,731610.292
158,2023-11-18T00:01:31.860425,2023-11-18T00:13:57.420016,745559.5909999999
